id,Sector,Precio,Habitaciones,Baños,Estrato,Área construida,Área privada,Valor administración,Parqueaderos,Precio m²
322,3,590000000,3,3,3,209,209,450000,2.0,2822966
323,3,980000000,3,5,5,159,143,950000,2.0,6853146
324,2,1500000000,4,5,5,296,296,1385000,4.0,5067567
325,3,245000000,1,2,2,68,68,0,0.0,3602941
326,3,649000000,3,3,3,118,118,410000,2.0,5500000
327,2,970000000,4,5,5,220,220,796000,2.0,4409090
328,3,200000000,2,2,2,60,60,203000,0.0,3333333
329,3,360000000,3,3,3,75,77,0,1.0,4675324
330,2,667000000,3,4,4,143,144,570000,2.0,4631944
331,2,1500000000,4,5,5,454,454,1500000,4.0,3303964
332,1,164000000,2,2,2,56,56,0,0.0,2928571
333,3,900000000,3,4,4,191,191,0,1.0,4712041
334,2,1800000000,4,4,4,433,433,1153000,4.0,4157043
335,3,1300000000,4,5,5,180,300,800000,4.0,4333333
336,3,185000000,2,2,2,59,59,170000,1.0,3135593
337,2,860000000,3,4,4,246,246,100000000,4.0,3495934
338,3,280000000,3,2,2,70,70,228000,1.0,4000000
339,2,600000000,3,2,2,140,140,1117000,2.0,4285714
340,3,335000000,3,2,2,88,88,270000,1.0,3806818
341,1,570000000,3,2,2,103,103,488000,2.0,5533980
342,1,470000000,3,3,3,110,110,390000,1.0,4272727
343,2,1600000000,3,4,4,240,240,850000,2.0,6666666
344,0,290000000,3,2,2,69,68,350000,1.0,4264705
345,2,300000000,3,2,2,220,159,0,1.0,1886792
346,1,840000000,3,5,5,120,120,958000,2.0,7000000
347,2,1650000000,3,3,3,267,267,1050000,2.0,6179775
348,3,388000000,3,3,3,94,94,380000,1.0,4127659
349,1,259000000,1,1,1,37,33,191000,0.0,7848484
350,1,270000000,4,3,3,85,85,10000,1.0,3176470
351,3,1950000000,3,4,4,310,310,900000,3.0,6290322
352,3,1350000000,3,4,4,380,380,1500000,2.0,3552631
353,3,5900000000,5,5,5,840,840,0,4.0,7023809
354,2,680000000,3,4,4,194,194,800000,2.0,3505154
355,3,1200000000,5,5,5,750,750,0,3.0,1600000
356,3,1480000000,3,5,5,214,214,1029000,4.0,6915887
357,3,2490000000,4,5,5,374,374,0,4.0,6657754
358,1,500000000,5,3,3,127,127,0,1.0,3937007
359,3,695000000,5,3,3,268,268,0,2.0,2593283
360,2,1900000000,5,5,5,600,600,0,4.0,3166666
361,3,2800000000,4,3,3,3610,3610,0,0.0,775623
362,3,700000000,3,4,4,248,248,700000,3.0,2822580
363,3,1650000000,4,5,5,325,937,0,3.0,1760939
364,3,300000000,3,3,3,209,209,0,1.0,1435406
365,3,1200000000,5,4,4,200,500,0,2.0,2400000
366,3,1200000000,5,5,5,700,700,0,4.0,1714285
367,3,625000000,5,5,5,201,201,0,3.0,3109452
368,3,598000000,3,3,3,160,160,418500,2.0,3737500
369,3,495000000,4,3,3,95,95,350000,1.0,5210526
370,3,1200000000,5,5,5,830,830,750000,4.0,1445783
371,3,380000000,3,3,3,100,100,383000,2.0,3800000
372,3,590000000,3,3,3,209,209,450000,2.0,2822966
373,3,980000000,3,5,5,159,143,950000,2.0,6853146
374,2,1500000000,4,5,5,296,296,1385000,4.0,5067567
375,3,245000000,1,2,2,68,68,0,0.0,3602941
376,3,649000000,3,3,3,118,118,410000,2.0,5500000
377,2,970000000,4,5,5,220,220,796000,2.0,4409090
378,3,200000000,2,2,2,60,60,203000,0.0,3333333
